0;	2.000000e-01;	-6.746172950145722e-03,	-3.332493823657760e-03,	1.992856073675821e-04;	1.968021054571550e-03,	-2.699632566332316e-03,	-3.457391257436520e-05;
1;	2.000000e-01;	3.662943797271798e+00,	3.402129537640926e+00,	-9.609907542502809e-02;	-1.669945283037500e+00,	2.345209536425034e+00,	2.766822114749759e-02;
2;	2.000000e-01;	6.088394441678274e+00,	6.848622936162098e+00,	-3.614071870316169e-01;	-1.565926715262457e+00,	1.415969949901760e+00,	3.761125401135515e-02;
3;	2.000000e-01;	1.461925848701267e+01,	-1.354385852497369e+01,	-2.397334956034073e-01;	9.792008106591572e-01,	9.730837749088606e-01,	-9.071756474058451e-03;
4;	2.000000e-01;	1.699230115030040e+01,	-2.486626921381977e+01,	1.204750075544413e-01;	9.433075397717852e-01,	6.459987301208645e-01,	-3.504184055322108e-02;
5;	2.000000e-01;	-9.662508115009603e+00,	-2.807359733024912e+01,	5.799005049975218e+00;	1.107509185266989e+00,	-5.638433050149990e-01,	-2.600206806296009e-01;
0;	4.000000e-01;	-6.351990250410978e-03,	-3.871839400223106e-03,	1.923540305987732e-04;	1.973664663963432e-03,	-2.693760321827685e-03,	-3.473892071755686e-05;
1;	4.000000e-01;	3.328395188910962e+00,	3.870611890392286e+00,	-9.055059598104123e-02;	-1.675396466245274e+00,	2.339551210176064e+00,	2.781359916509155e-02;
2;	4.000000e-01;	5.775052857343439e+00,	7.131635619560560e+00,	-3.538755396839713e-01;	-1.567474531246220e+00,	1.414145762482581e+00,	3.770483769535322e-02;
3;	4.000000e-01;	1.481506136531721e+01,	-1.334920755458634e+01,	-2.415472364093398e-01;	9.788272633084728e-01,	9.734249865470065e-01,	-9.065645885067678e-03;
4;	4.000000e-01;	1.718095009752083e+01,	-2.473705118339249e+01,	1.134665522864270e-01;	9.431817006147377e-01,	6.461814129418881e-01,	-3.504270346039096e-02;
5;	4.000000e-01;	-9.440999314053641e+00,	-2.818634557405254e+01,	5.746996714214709e+00;	1.107578526472048e+00,	-5.636390803060819e-01,	-2.600625964649758e-01;
0;	6.000000e-01;	-5.956765662137686e-03,	-4.409981623760841e-03,	1.853912985068223e-04;	1.978430755757565e-03,	-2.687641954396637e-03,	-3.488506768657607e-05;
1;	6.000000e-01;	2.992845048232907e+00,	4.337934060932056e+00,	-8.497491050290404e-02;	-1.679951342763316e+00,	2.333652252801609e+00,	2.793988915072725e-02;
2;	6.000000e-01;	5.461410700847416e+00,	7.414277232892871e+00,	-3.463254215049424e-01;	-1.568931105524323e+00,	1.412261332036533e+00,	3.779587363586426e-02;
3;	6.000000e-01;	1.501078911846049e+01,	-1.315448891005565e+01,	-2.433597518142876e-01;	9.784495977247495e-01,	9.737604887404500e-01,	-9.059503069568233e-03;
4;	6.000000e-01;	1.736957373923199e+01,	-2.460779671366100e+01,	1.064579296151440e-01;	9.430544883330526e-01,	6.463631180649493e-01,	-3.504351456601434e-02;
5;	6.000000e-01;	-9.219476822839344e+00,	-2.829905294292313e+01,	5.694980043563624e+00;	1.107646086984669e+00,	-5.634345631374877e-01,	-2.601040284860490e-01;
0;	8.000000e-01;	-5.560677071450157e-03,	-4.946895931526570e-03,	1.784013473864828e-04;	1.982310290495325e-03,	-2.681518089638743e-03,	-3.501106997867630e-05;
1;	8.000000e-01;	2.656474923254235e+00,	4.804073493793612e+00,	-7.937599396486843e-02;	-1.683602508924168e+00,	2.327762029283450e+00,	2.804588999246983e-02;
2;	8.000000e-01;	5.147486952731520e+00,	7.696536998109515e+00,	-3.387573929691027e-01;	-1.570289436808515e+00,	1.410329486449430e+00,	3.788386321618533e-02;
3;	8.000000e-01;	1.520644094607492e+01,	-1.295970374940793e+01,	-2.451710357355009e-01;	9.780680476197843e-01,	9.740901218477032e-01,	-9.053331658496356e-03;
4;	8.000000e-01;	1.755817180301302e+01,	-2.447850600319230e+01,	9.944914991194023e-02;	9.429259250805043e-01,	6.465438152983263e-01,	-3.504427376393364e-02;
5;	8.000000e-01;	-8.997940997984628e+00,	-2.841171938281453e+01,	5.642955135400204e+00;	1.107711862198715e+00,	-5.632297979500333e-01,	-2.601449705948976e-01;
0;	1.000000e+00;	-5.163896286275996e-03,	-5.482601393945674e-03,	1.713881742645628e-04;	1.985368062307689e-03,	-2.675580580627420e-03,	-3.511750753295584e-05;
1;	1.000000e+00;	2.319459603159334e+00,	5.269052762198237e+00,	-7.375785738067157e-02;	-1.686419661681254e+00,	2.322078428580624e+00,	2.813234056426931e-02;
2;	1.000000e+00;	4.833301798245322e+00,	7.978406761631237e+00,	-3.311721075143504e-01;	-1.571544496313023e+00,	1.408363571111400e+00,	3.796837732984155e-02;
3;	1.000000e+00;	1.540201609506224e+01,	-1.276485326155151e+01,	-2.469810828193046e-01;	9.776828518572926e-01,	9.744137367494724e-01,	-9.047135309916339e-03;
4;	1.000000e+00;	1.774674402094058e+01,	-2.434917925654159e+01,	9.244022356686497e-02;	9.427960336750695e-01,	6.467234749567138e-01,	-3.504498097331848e-02;
5;	1.000000e+00;	-8.776392196916543e+00,	-2.852434484855817e+01,	5.590922088288805e+00;	1.107775848627702e+00,	-5.630248290734555e-01,	-2.601854170287923e-01;
0;	1.200000e+00;	-4.766577406738677e-03,	-6.017149367462464e-03,	1.643555276617889e-04;	1.987711081164004e-03,	-2.669959969168969e-03,	-3.520616956559554e-05;
1;	1.200000e+00;	1.981955001181521e+00,	5.732927609734290e+00,	-6.812422687065540e-02;	-1.688516314236726e+00,	2.316734796711530e+00,	2.820122861005332e-02;
2;	1.200000e+00;	4.518876226173532e+00,	8.259881055310023e+00,	-3.235702966406854e-01;	-1.572693277068751e+00,	1.406377025044212e+00,	3.804906564847747e-02;
3;	1.200000e+00;	1.559751386055291e+01,	-1.256993866413872e+01,	-2.487898884454798e-01;	9.772942537395146e-01,	9.747311951747329e-01,	-9.040917698573686e-03;
4;	1.200000e+00;	1.793529012971977e+01,	-2.421981668414831e+01,	8.543116098359074e-02;	9.426648375797766e-01,	6.469020678866294e-01,	-3.504563613878107e-02;
5;	1.200000e+00;	-8.554830777648151e+00,	-2.863692930383657e+01,	5.538881001912587e+00;	1.107838043896592e+00,	-5.628197006812935e-01,	-2.602253623628168e-01;
0;	1.400000e+00;	-4.368851309605699e-03,	-6.550611434206930e-03,	1.573067319949647e-04;	1.989460588392869e-03,	-2.664729621408917e-03,	-3.527941204093798e-05;
1;	1.400000e+00;	1.644092470872596e+00,	6.195774266414860e+00,	-6.247836377423940e-02;	-1.690020364802245e+00,	2.311804408339109e+00,	2.825511319780306e-02;
2;	1.400000e+00;	4.204231627976056e+00,	8.540957074480666e+00,	-3.159527535957459e-01;	-1.573734742881324e+00,	1.404382980319826e+00,	3.812566146006698e-02;
3;	1.400000e+00;	1.579293358672114e+01,	-1.237496120136820e+01,	-2.505974487295560e-01;	9.769025002794991e-01,	9.750423699725783e-01,	-9.034682505468407e-03;
4;	1.400000e+00;	1.812380987081110e+01,	-2.409041850222739e+01,	7.842197257431688e-02;	9.425323608825527e-01,	6.470795654911216e-01,	-3.504623923045180e-02;
5;	1.400000e+00;	-8.333257098557176e+00,	-2.874947272114766e+01,	5.486831977005740e+00;	1.107898446731904e+00,	-5.626144567467072e-01,	-2.602648015118679e-01;
0;	1.600000e+00;	-3.970824847639661e-03,	-7.083069147528495e-03,	1.502446248540951e-04;	1.990733254468741e-03,	-2.659918281541492e-03,	-3.533968524279000e-05;
1;	1.600000e+00;	1.305978077834919e+00,	6.657678687600897e+00,	-5.682300369187455e-02;	-1.691054353672906e+00,	2.307313781869231e+00,	2.829662747020416e-02;
